Date,Spare_Capacity,WTI_Real_Price _GDP_Deflated,,
10-Jan,2.75,35.03,,
10-Feb,3.79,33.77,,
10-Mar,3.61,32.19,,
10-Apr,4.43,24.6,,
10-May,5.38,25.93,,
10-Jun,5.92,31.35,,
10-Jul,5.06,33.62,,
10-Aug,3.65,33.41,,
10-Sep,2.09,39.98,,
10-Oct,1.41,33.93,,
10-Nov,2.28,35.19,,
10-Dec,2.01,36.13,,
11-Jan,1.93,40.58,,
11-Feb,1.73,43.65,,
11-Mar,0.74,49.62,,
11-Apr,0.71,54.11,,
11-May,1.08,55.57,,
11-Jun,1.03,58.72,,
11-Jul,0.95,69.36,,
11-Aug,1,65.23,,
11-Sep,1.13,68.3,,
11-Oct,1.35,75.4,,
11-Nov,1.35,74.97,,
11-Dec,1.96,63.46,,
12-Jan,2.32,60.82,,
12-Feb,2.31,67.65,,
12-Mar,2.09,78.07,,
12-Apr,1.66,93.62,,
12-May,1.39,100.56,,
12-Jun,1.28,126.63,,
12-Jul,1.03,120.2,,
12-Aug,1.89,59.52,,
12-Sep,3.35,43.65,,
12-Oct,3.44,60.41,,
12-Nov,3.94,68.99,,
12-Dec,4.43,76.79,,
13-Jan,4.34,79.36,,
13-Feb,4.09,78.01,,
13-Mar,3.55,75.9,,
13-Apr,3.95,84.61,,
13-May,3.7,92.98,,
13-Jun,3.27,100.1,,
13-Jul,2.57,87.3,,
13-Aug,2.67,91.65,,
13-Sep,2.14,99.75,,
13-Oct,2.06,90,,
13-Nov,1.96,88.39,,
13-Dec,2.33,84.1,,
14-Jan,2.7,89.81,,
14-Feb,2.23,89.34,,
14-Mar,1.7,100.02,,
14-Apr,2,91.66,,
14-May,2,92.37,,
14-Jun,2.15,96.23,,
14-Jul,2.1,90.74,,
14-Aug,2.04,67.79,,
14-Sep,1.85,44.9,,
14-Oct,1.32,53.28,,
14-Nov,1.26,42.74,,
14-Dec,1.42,38.42,,
15-Jan,1.42,30.51,,
15-Feb,1.22,41.36,,
15-Mar,0.95,40.66,,
15-Apr,1,44.36,,
15-May,2.19,46.31,,
15-Jun,2.16,43.03,,
15-Jul,1.94,42.64,,
15-Aug,2.04,42.38,,
15-Sep,1.91,42.11,,
15-Oct,1.3,41.86,,
15-Nov,1.2,43.33,,
15-Dec,1.2,45.11,,
