Date,opec_dis,nop_dis,diff,comb,avg
11-Jan,0.03,0.37,-0.34,0.4,0.2
11-Feb,0.3,0.29,0.01,0.59,0.295
11-Mar,1.48,0.3,1.18,1.78,0.89
11-Apr,1.47,0.47,1,1.94,0.97
11-May,1.4,0.41,0.99,1.81,0.905
11-Jun,1.5,0.36,1.14,1.86,0.93
11-Jul,1.68,0.34,1.34,2.02,1.01
11-Aug,1.63,0.3,1.33,1.93,0.965
11-Sep,1.59,0.61,0.98,2.2,1.1
11-Oct,1.58,0.48,1.1,2.06,1.03
11-Nov,1.23,0.59,0.64,1.82,0.91
11-Dec,1.12,0.57,0.55,1.69,0.845
12-Jan,0.86,0.61,0.25,1.47,0.735
12-Feb,0.68,0.93,-0.25,1.61,0.805
12-Mar,0.75,1.19,-0.44,1.94,0.97
12-Apr,0.63,0.92,-0.29,1.55,0.775
12-May,0.91,0.84,0.07,1.75,0.875
12-Jun,0.98,0.86,0.12,1.84,0.92
12-Jul,1.1,0.84,0.26,1.94,0.97
12-Aug,1.1,0.96,0.14,2.06,1.03
12-Sep,1.07,0.93,0.14,2,1
12-Oct,1.22,0.71,0.51,1.93,0.965
12-Nov,1.38,0.76,0.62,2.14,1.07
12-Dec,1.46,0.78,0.68,2.24,1.12
13-Jan,1.38,0.88,0.5,2.26,1.13
13-Feb,1.28,0.88,0.4,2.16,1.08
13-Mar,1.31,0.9,0.41,2.21,1.105
13-Apr,1.19,0.89,0.3,2.08,1.04
13-May,1.23,0.81,0.42,2.04,1.02
13-Jun,1.79,0.93,0.86,2.72,1.36
13-Jul,1.8,0.95,0.85,2.75,1.375
13-Aug,2.13,0.91,1.22,3.04,1.52
13-Sep,2.68,0.64,2.04,3.32,1.66
13-Oct,2.36,0.7,1.66,3.06,1.53
13-Nov,2.54,0.52,2.02,3.06,1.53
13-Dec,2.61,0.59,2.02,3.2,1.6
14-Jan,2.19,0.63,1.56,2.82,1.41
14-Feb,2.16,0.59,1.57,2.75,1.375
14-Mar,2.61,0.55,2.06,3.16,1.58
14-Apr,2.52,0.62,1.9,3.14,1.57
14-May,2.6,0.66,1.94,3.26,1.63
14-Jun,2.6,0.58,2.02,3.18,1.59
14-Jul,2.45,0.6,1.85,3.05,1.525
14-Aug,2.26,0.52,1.74,2.78,1.39
14-Sep,2.06,0.44,1.62,2.5,1.25
14-Oct,2.13,0.4,1.73,2.53,1.265
14-Nov,2.55,0.37,2.18,2.92,1.46
14-Dec,2.61,0.31,2.3,2.92,1.46
15-Jan,2.65,0.24,2.41,2.89,1.445
15-Feb,2.59,0.26,2.33,2.85,1.425
15-Mar,2.45,0.3,2.15,2.75,1.375
15-Apr,2.29,0.52,1.77,2.81,1.405
15-May,2.76,0.46,2.3,3.22,1.61
15-Jun,2.79,0.42,2.37,3.21,1.605
15-Jul,2.75,0.38,2.37,3.13,1.565
15-Aug,2.75,0.32,2.43,3.07,1.535
15-Sep,2.73,0.49,2.24,3.22,1.61
15-Oct,2.84,0.29,2.55,3.13,1.565
15-Nov,2.71,0.36,2.35,3.07,1.535
15-Dec,2.79,0.27,2.52,3.06,1.53
16-Jan,1.88,0.3,1.58,2.18,1.09
16-Feb,2.15,0.34,1.81,2.49,1.245
16-Mar,2.25,0.38,1.87,2.63,1.315
16-Apr,2.44,0.36,2.08,2.8,1.4
16-May,2.58,1.08,1.5,3.66,1.83
16-Jun,2.29,0.77,1.52,3.06,1.53
16-Jul,2.32,0.44,1.88,2.76,1.38
16-Aug,2.42,0.32,2.1,2.74,1.37
16-Sep,2.29,0.35,1.94,2.64,1.32
16-Oct,1.99,0.31,1.68,2.3,1.15
16-Nov,1.91,0.36,1.55,2.27,1.135
16-Dec,1.9,0.31,1.59,2.21,1.105
17-Jan,1.8,0.33,1.47,2.13,1.065
17-Feb,1.78,0.3,1.48,2.08,1.04
17-Mar,1.84,0.49,1.35,2.33,1.165
17-Apr,1.89,0.72,1.17,2.61,1.305
17-May,1.54,0.66,0.88,2.2,1.1
17-Jun,1.37,0.57,0.8,1.94,0.97
